Vertices,Gen set,Diameter,Average distance,Bisection width,Connections
13,1 5,2,1.66667,12,26
25,1 7,3,2.33333,16,50
41,1 9,4,3,20,82
61,1 11,5,3.66667,24,122
85,1 13,6,4.33333,28,170
113,1 15,7,5,32,226
145,1 17,8,5.66667,36,290
181,1 19,9,6.33333,40,362
221,1 21,10,7,44,442
265,1 23,11,7.66667,48,530
313,1 25,12,8.33333,52,626
365,1 27,13,9,56,730
421,1 29,14,9.66667,60,842
481,1 31,15,10.3333,64,962
545,1 33,16,11,68,1090
613,1 35,17,11.6667,72,1226
685,1 37,18,12.3333,76,1370
761,1 39,19,13,80,1522
841,1 41,20,13.6667,84,1682
925,1 43,21,14.3333,88,1850
1013,1 45,22,15,92,2026
1105,1 47,23,15.6667,96,2210
1201,1 49,24,16.3333,100,2402
1301,1 51,25,17,104,2602
1405,1 53,26,17.6667,108,2810
1513,1 55,27,18.3333,112,3026
1625,1 57,28,19,116,3250
1741,1 59,29,19.6667,120,3482
1861,1 61,30,20.3333,124,3722
1985,1 63,31,21,128,3970
2113,1 65,32,21.6667,132,4226
2245,1 67,33,22.3333,136,4490
2381,1 69,34,23,140,4762
2521,1 71,35,23.6667,144,5042
2665,1 73,36,24.3333,148,5330
2813,1 75,37,25,152,5626
2965,1 77,38,25.6667,156,5930
3121,1 79,39,26.3333,160,6242
3281,1 81,40,27,164,6562
3445,1 83,41,27.6667,168,6890
3613,1 85,42,28.3333,172,7226
3785,1 87,43,29,176,7570
3961,1 89,44,29.6667,180,7922
4141,1 91,45,30.3333,184,8282
4325,1 93,46,31,188,8650
4513,1 95,47,31.6667,192,9026
4705,1 97,48,32.3333,196,9410
4901,1 99,49,33,200,9802
5101,1 101,50,33.6667,204,10202
