Кол-во вершин;Конфигурация графа;Диаметр;Средний путь;Время (мкс)
331;C(331, 1, 50);13;8.58788;33420828;662
332;C(332, 1, 52);13;8.60121;30486087;664
333;C(333, 1, 129);13;8.61446;33420831;666
334;C(334, 1, 78);13;8.62763;38455868;668
335;C(335, 1, 29);13;8.64072;41457334;670
336;C(336, 1, 156);13;8.65373;36975755;672
337;C(337, 1, 25);13;8.66667;42281874;674
338;C(338, 1, 25);13;8.67953;38783797;676
339;C(339, 1, 25);13;8.69231;40405120;678
340;C(340, 1, 72);13;8.70501;38215114;680
341;C(341, 1, 74);13;8.71765;43405146;682
342;C(342, 1, 80);13;8.73021;38459320;684
343;C(343, 1, 133);13;8.74269;43788145;686
344;C(344, 1, 54);13;8.7551;40792750;688
345;C(345, 1, 52);13;8.76744;42056784;690
346;C(346, 1, 30);13;8.77971;41598606;692
347;C(347, 1, 79);13;8.79191;45937161;694
348;C(348, 1, 24);13;8.80403;40343236;696
349;C(349, 1, 24);13;8.81609;46941012;698
350;C(350, 1, 28);13;8.82808;42223024;700
351;C(351, 1, 26);13;8.84;45754643;702
352;C(352, 1, 26);13;8.85185;44290387;704
353;C(353, 1, 127);13;8.86364;49798295;706
354;C(354, 1, 110);13;8.87535;44672614;708
355;C(355, 1, 77);13;8.88701;49362758;710
356;C(356, 1, 138);13;8.89859;46152170;712
357;C(357, 1, 56);13;8.91011;48116324;714
358;C(358, 1, 54);13;8.92157;47766593;716
359;C(359, 1, 76);13;8.93296;52360019;718
360;C(360, 1, 82);13;8.94429;45118476;720
